FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
4246,26150000,C, ,3.9,4.971,35,1725.8353,2,26,Alachua,2,1725.83525902192
4247,75090000,C, ,0.72,1.12,30,643.3783,5,75,Orange,5,643.378339537035
4248,87240000,R, ,12.045,13.69,50,2642.5278,6,87,Miami-Dade,6,2642.527803759
4249,29010000,C, ,10.124,11.278,45,1857.9945,2,29,Columbia,2,1857.9945242323
4250,26050000,C, ,0.429,1.535,45,1778.7561,2,26,Alachua,2,1778.75610366618
4251,34010000,C, ,21.611,21.8,55,304.3621,2,34,Levy,2,304.362094243133
4252,87000096,C, ,0,0.447,20,723.8625,6,87,Miami-Dade,6,723.862454889851
4253,94000058,C, ,0.027,0.918,45,1434.5905,4,94,St. Lucie,4,1434.5904820515
4254,87000278,L, ,1.084,1.252,30,271.0394,6,87,Miami-Dade,6,271.039364330014
4255,11685000,C, ,0,1.517,45,2441.5614,5,11,Lake,5,2441.56140104194
4256,75016500,L, ,0.672,0.755,35,133.8172,5,75,Orange,5,133.817216594985
4257,11684000,C, ,0,0.647,30,1040.4726,5,11,Lake,5,1040.47255208044
4258,11240501,C, ,0,0.758,25,1227.4081,5,11,Lake,5,1227.4081195699
4259,36150000,C, ,0,3.746,55,6026.9212,5,36,Marion,5,6026.92118880799
4260,55530000,C, ,11.737,12.812,55,1729.7812,3,55,Leon,3,1729.78120398022
4261,36658500,C, ,0.34,3.821,45,5607.9543,5,36,Marion,5,5607.95425220096
4262,94004000,C, ,3,3.584,35,940.2099,4,94,St. Lucie,4,940.209924921704
4263,26713000,C, ,0.761,5.421,55,7508.7547,2,26,Alachua,2,7508.75467264649
4264,75040000,C, ,10.074,11.28,40,1940.9853,5,75,Orange,5,1940.98527487954
4265,30512000,C, ,0,0.667,30,1071.8139,2,30,Dixie,2,1071.81394798321
4266,11070000,C, ,7.35,7.917,50,914.8454,5,11,Lake,5,914.845358783318
4267,33590000,C, ,1.85,4.122,45,3658.8038,2,33,Lafayette,2,3658.80375779222
4268,14000003,C, ,1.573,2.973,30,2242.2486,7,14,Pasco,7,2242.24860335825
4269,36004000,C, ,5.876,7.213,50,2154.9833,5,36,Marion,5,2154.98332798463
4270,26680000,C, ,0,1.801,55,2897.7832,2,26,Alachua,2,2897.78316034206
4271,76080000,C, ,0,0.61,35,981.5717,2,76,Putnam,2,981.571709074973
4272,26504000,C, ,0,0.412,45,666.3619,2,26,Alachua,2,666.361887814886
4273,93589000,C, ,0,0.965,30,1551.0871,4,93,Palm Beach,4,1551.08708104959
4274,75060000,C, ,7.872,9.23,50,2182.7822,5,75,Orange,5,2182.78218030285
4275,34518000,C, ,0,0.401,35,648.2757,2,34,Levy,2,648.275693892255
4276,34503000,C, ,0,3.507,55,5643.6492,2,34,Levy,2,5643.64916612571
4277,26030000,C, ,25.808,26.418,30,981.2189,2,26,Alachua,2,981.218857357334
4278,75260000,C, ,2.338,2.802,35,746.7224,5,75,Orange,5,746.722365148899
4279,94000053,C, ,0.511,1.681,30,1880.2677,4,94,St. Lucie,4,1880.26773930237
4280,87000274,L, ,0,0.038,30,61.2144,6,87,Miami-Dade,6,61.21444865059
4281,57030030,C, ,20.515,20.761,45,396.8174,3,57,Okaloosa,3,396.817385271342
4282,75040000,C, ,16.72,16.84,30,193.0447,5,75,Orange,5,193.044654408087
4283,29070000,C, ,5.5,7.133,45,2626.8717,2,29,Columbia,2,2626.87165105544
4284,11130000,C, ,6.747,13.782,55,11319.8843,5,11,Lake,5,11319.8842745737
4285,33513001,C, ,0,1.811,45,2915.0356,2,33,Lafayette,2,2915.03562256376
4286,60030000,C, ,17.41,17.943,45,860.3018,3,60,Walton,3,860.301821640033
4287,36660000,C, ,0,1.136,45,1830.5935,5,36,Marion,5,1830.59351017537
4288,36000081,C, ,0,0.463,35,749.59,5,36,Marion,5,749.589995319209
4289,27070000,C, ,6.32,6.574,45,408.7761,2,27,Baker,2,408.776134005405
4290,87000180,C, ,0,1.959,30,3167.0784,6,87,Miami-Dade,6,3167.07844536831
4291,70000401,C, ,0,0.506,25,813.6497,5,70,Brevard,5,813.649714780996
4292,93290000,C, ,9.15,11.6,45,3943.6028,4,93,Palm Beach,4,3943.60279781579
4293,34620000,C, ,7.215,9.013,45,2894.1835,2,34,Levy,2,2894.18345620718
4294,75021500,R, ,0.889,1.125,30,380.2836,5,75,Orange,5,380.283580693373
4295,34010000,C, ,23.104,23.298,40,312.3658,2,34,Levy,2,312.365752655132
4296,34050000,C, ,24.763,34.911,65,16322.9361,2,34,Levy,2,16322.9361359519
4297,93140001,C, ,0.56,0.848,55,464.8927,4,93,Palm Beach,4,464.892713388237
4298,75200000,C, ,6.6,8.295,45,2727.5962,5,75,Orange,5,2727.59621555145
4299,94000061,C, ,0.063,0.142,25,126.8631,4,94,St. Lucie,4,126.863066343398
4300,75120000,C, ,1.646,1.946,45,486.0438,5,75,Orange,5,486.043807567719
4301,57000112,C, ,0.275,1.017,35,1193.1176,3,57,Okaloosa,3,1193.11755008101
4302,60070000,C, ,0,0.6,35,968.1564,3,60,Walton,3,968.156415542006
4303,93110000,C, ,0,0.593,35,954.2969,4,93,Palm Beach,4,954.29693022065
4304,30000100,C, ,0,3.292,45,5295.3585,2,30,Dixie,2,5295.3585019724
4305,76600000,C, ,2.893,4.253,35,2188.5738,2,76,Putnam,2,2188.57384636053
4306,36030000,C, ,3.365,5.4,45,3272.6067,5,36,Marion,5,3272.60671991481
4307,55520000,C, ,8.62,8.64,45,32.2062,3,55,Leon,3,32.2062004592975
4308,94050000,C, ,0,0.947,40,1525.7438,4,94,St. Lucie,4,1525.74375224169
4309,26554000,C, ,0,1.088,40,1758.6444,2,26,Alachua,2,1758.64440813853
4310,11517000,C, ,0.406,3.696,40,5282.7408,5,11,Lake,5,5282.74083846848
4311,11160000,C, ,1.356,2.096,45,1191.2267,5,11,Lake,5,1191.22673880579
4312,60030000,C, ,4.57,8.78,55,6795.4557,3,60,Walton,3,6795.45569648032
4313,29090000,C, ,8.268,9.838,50,2526.6361,2,29,Columbia,2,2526.63611640545
4314,14000049,C, ,6.083,6.726,35,1034.6273,7,14,Pasco,7,1034.62727335366
4315,93700000,C, ,2.27,2.67,45,643.0863,4,93,Palm Beach,4,643.086281620757
4316,26700002,C, ,0.673,2.542,55,3017.1449,2,26,Alachua,2,3017.1449075802
4317,87000095,L, ,0,2.49,30,4006.9664,6,87,Miami-Dade,6,4006.96637657178
4318,33516000,C, ,0,0.786,45,1265.3543,2,33,Lafayette,2,1265.35425113035
4319,36009000,C, ,7.235,9.289,45,3302.5886,5,36,Marion,5,3302.58855354949
4320,56040000,C, ,29.55,30.201,35,1049.0827,3,56,Liberty,3,1049.08270278393
4321,94050000,C, ,6.955,12.62,55,9126.8315,4,94,St. Lucie,4,9126.83146891558
4322,27010000,C, ,21.358,21.561,30,326.6584,2,27,Baker,2,326.658408247949
4323,29100000,C, ,3.945,4.32,45,603.7688,2,29,Columbia,2,603.768765482725
4324,11110000,C, ,4.481,18.103,55,21914.8625,5,11,Lake,5,21914.8625131271
4325,60030000,C, ,0,1.68,55,2711.6828,3,60,Walton,3,2711.68279263828
4326,14000049,C, ,6.726,9.322,30,4177.3334,7,14,Pasco,7,4177.33337424607
4327,58002000,C, ,3.071,25.905,70,36901.6677,3,58,Santa Rosa,3,36901.6676767394
4328,27030000,C, ,10.793,10.966,30,278.3009,2,27,Baker,2,278.300940967908
4329,87000140,L, ,0,2.004,40,3219.7059,6,87,Miami-Dade,6,3219.70587078482
4330,70000370,C, ,4.132,4.613,35,774.9216,5,70,Brevard,5,774.921581239808
4331,93310000,C, ,20.476,22.371,45,3047.3941,4,93,Palm Beach,4,3047.39410379616
4332,34513000,C, ,0,7.941,55,12778.2484,2,34,Levy,2,12778.2483730041
4333,75020000,C, ,18.925,22.865,55,6340.8948,5,75,Orange,5,6340.89484409915
4334,34050000,C, ,0.784,1.3,55,829.9752,2,34,Levy,2,829.975205206051
4335,93140000,C, ,18.9,19.493,30,957.4399,4,93,Palm Beach,4,957.439918622584
4336,36530500,C, ,0,5.399,45,8680.208,5,36,Marion,5,8680.20796071348
4337,75230000,C, ,6.865,7.21,35,555.3221,5,75,Orange,5,555.322138812495
4338,87202000,C, ,3.416,4.22,35,1291.4501,6,87,Miami-Dade,6,1291.45013504962
4339,75080000,C, ,16.72,17.553,35,1340.5062,5,75,Orange,5,1340.50622443995
4340,30010000,C, ,25.528,25.9,35,598.9038,2,30,Dixie,2,598.903807521829
4341,93110001,C, ,0,0.5,45,804.7009,4,93,Palm Beach,4,804.70085291548
4342,76060000,C, ,0,0.31,45,498.6798,2,76,Putnam,2,498.679799100418
4343,36030000,C, ,0.904,2.02,45,1794.7625,5,36,Marion,5,1794.76252421964
4344,55210000,C, ,2.014,3.714,40,2731.19,3,55,Leon,3,2731.19000655464
4345,76560000,C, ,0,2.67,45,4296.2574,2,76,Putnam,2,4296.25739154427
4346,26260000,C, ,0,35.19,70,56605.9881,2,26,Alachua,2,56605.9881469413
4347,75250000,C, ,3.3,4.704,45,2258.7122,5,75,Orange,5,2258.71223146321
4348,11110000,C, ,23.575,24.078,45,809.187,5,11,Lake,5,809.186965118587
4349,26050000,C, ,6.911,7.208,45,477.6723,2,26,Alachua,2,477.672326124376
4350,34020000,C, ,0.589,7.832,60,11670.7099,2,34,Levy,2,11670.7098512233
4351,36620500,C, ,0.424,1.678,40,2008.4457,5,36,Marion,5,2008.44567496922
4352,34040000,C, ,13.46,13.649,55,304.6599,2,34,Levy,2,304.65985172005
4353,27040000,C, ,0,0.338,25,543.9648,2,27,Baker,2,543.96477485984
4354,29642001,C, ,0.894,3.239,55,3776.0992,2,29,Columbia,2,3776.09918062703
4355,11100000,C, ,4.18,4.54,35,579.3582,5,11,Lake,5,579.358207490389
4356,36659000,C, ,5.427,7.044,45,2601.5982,5,36,Marion,5,2601.59824017088
4357,36000052,C, ,0.297,1.015,40,1143.6453,5,36,Marion,5,1143.64531412823
4358,27090000,C, ,0,25.462,70,40930.2462,2,27,Baker,2,40930.2461675564
4359,26556000,C, ,0.7,0.84,35,225.0624,2,26,Alachua,2,225.062421011765
4360,70000373,C, ,0,0.805,40,1300.5702,5,70,Brevard,5,1300.57020407152
4361,75066500,C, ,0,0.908,45,1460.5342,5,75,Orange,5,1460.53417244815
4362,34516000,C, ,0,0.349,25,561.264,2,34,Levy,2,561.263986982019
4363,33040000,C, ,18.91,19.404,30,794.8841,2,33,Lafayette,2,794.884143818509
4364,34070000,C, ,2.809,20.563,60,28539.6217,2,34,Levy,2,28539.6217274712
4365,26030000,C, ,24.963,25.6,40,1024.5666,2,26,Alachua,2,1024.56663658959
4366,75260000,C, ,1.517,2.338,30,1321.3238,5,75,Orange,5,1321.32383273213
4367,94000053,C, ,2.178,2.541,25,583.4259,4,94,St. Lucie,4,583.425896578172
4368,87000239,R, ,0.467,0.65,30,294.0673,6,87,Miami-Dade,6,294.067344189582
4369,57040000,C, ,9.3,10.954,55,2671.1655,3,57,Okaloosa,3,2671.16549650276
4370,75003000,C, ,4.49,4.964,45,762.682,5,75,Orange,5,762.681980533916
4371,29000017,C, ,0,5.05,30,8127.5836,2,29,Columbia,2,8127.58358904364
4372,36110000,C, ,23.723,23.868,45,233.5213,5,36,Marion,5,233.521349872413
4373,55520000,C, ,6.151,7.783,55,2627.6655,3,55,Leon,3,2627.66545480234
4374,94530000,C, ,7.172,7.416,50,392.6418,4,94,St. Lucie,4,392.641760237914
4375,26580500,C, ,0,0.095,35,152.9387,2,26,Alachua,2,152.938714191046
4376,29570000,C, ,0,4.896,45,7879.1404,2,29,Columbia,2,7879.14035452084
4377,11160000,C, ,7.348,9.667,40,3732.5819,5,11,Lake,5,3732.58192294348
4378,60010000,C, ,14.656,16.63,45,3186.2632,3,60,Walton,3,3186.26324420692
4379,14000008,C, ,0,1.022,30,1643.2315,7,14,Pasco,7,1643.23154151951
4380,93700000,C, ,0,0.35,35,562.7663,4,93,Palm Beach,4,562.766348400985
4381,26717000,C, ,3.77,4.975,30,1936.1874,2,26,Alachua,2,1936.18736875632
4382,87000183,L, ,1,2,40,1615.0176,6,87,Miami-Dade,6,1615.01759204267
4383,70000379,C, ,0,0.535,35,849.5011,5,70,Brevard,5,849.501088191365
4384,93270001,C, ,0,5.414,45,8713.0186,4,93,Palm Beach,4,8713.01860498257
4385,34509000,C, ,7.929,11.44,55,5650.6742,2,34,Levy,2,5650.67415550022
4386,11509000,C, ,0,1.978,40,3177.6918,5,11,Lake,5,3177.69180772184
4387,75020000,C, ,6.61,6.973,45,584.1603,5,75,Orange,5,584.160307704063
4388,34522000,C, ,0,4.969,45,7996.2294,2,34,Levy,2,7996.2294226385
4389,11240000,C, ,3.881,5.816,35,3114.8783,5,11,Lake,5,3114.87825096504
4390,12000233,C, ,0,0.84,30,1352.11,1,12,Lee,1,1352.10999849077
4391,75000457,C, ,0,1.022,40,1645.8061,5,75,Orange,5,1645.80612032668
4392,75000265,C, ,1.822,3.083,35,2028.7272,5,75,Orange,5,2028.72721192871
4393,12060000,C, ,14.365,14.554,50,304.2371,1,12,Lee,1,304.237113748872
4394,75660501,C, ,0.622,0.949,55,525.0775,5,75,Orange,5,525.077454168764
4395,87042500,R, ,0.442,0.565,35,194.3905,6,87,Miami-Dade,6,194.390464352718
4396,87028502,R, ,1.1,1.526,35,683.8191,6,87,Miami-Dade,6,683.819130972705
4397,35010000,C, ,27.65,27.88,40,370.3256,2,35,Madison,2,370.325555754412
4398,75000352,C, ,0,1.618,35,2604.2442,5,75,Orange,5,2604.24422002354
4399,75000157,C, ,0,0.544,35,873.6044,5,75,Orange,5,873.604431272594
4400,87090000,L, ,15.902,16.066,30,264.2636,6,87,Miami-Dade,6,264.263632124303
4401,31030000,C, ,15.639,23.488,60,12634.0698,2,31,Gilchrist,2,12634.0698322427
4402,87160000,C, ,0.403,7.722,45,11754.6951,6,87,Miami-Dade,6,11754.6950913052
4403,13000082,C, ,0,2.035,40,3276.7013,1,13,Manatee,1,3276.70130544588
4404,32010000,C, ,19.858,20.141,45,455.2978,2,32,Hamilton,2,455.297834396616
4405,93040000,C, ,2,2.5,40,804.5972,4,93,Palm Beach,4,804.597215993242
4406,75000381,L, ,5.162,6.218,35,1702.3334,5,75,Orange,5,1702.33335181107
4407,76020000,C, ,19.4,19.7,55,482.8671,2,76,Putnam,2,482.867090398047
4408,87000969,R, ,0,0.181,30,287.4714,6,87,Miami-Dade,6,287.471360345833
4409,13000008,C, ,0.764,3.08,45,3723.821,1,13,Manatee,1,3723.82098518637
4410,75580000,L, ,5.649,7.897,45,3626.3939,5,75,Orange,5,3626.39388457937
4411,94000120,C, ,0,3.682,40,5957.5954,4,94,St. Lucie,4,5957.59536266084
4412,36000037,C, ,0,4.257,45,6852.2136,5,36,Marion,5,6852.21359155555
4413,87120001,C, ,0,2.932,30,4726.0213,6,87,Miami-Dade,6,4726.0212720622
4414,12007500,C, ,1.593,2.912,45,2123.4738,1,12,Lee,1,2123.47377304849
4415,75000380,C, ,0.725,0.803,35,125.6922,5,75,Orange,5,125.692234147779
4416,75000197,R, ,0,0.926,45,1486.0967,5,75,Orange,5,1486.09667301763
4417,87060000,L, ,3.706,4.643,30,1508.5515,6,87,Miami-Dade,6,1508.55153736191
4418,34100000,C, ,9.325,15.113,55,9355.4336,2,34,Levy,2,9355.43356306667
4419,61080000,C, ,24.896,25.05,45,248.273,3,61,Washington,3,248.273001287454
4420,75900003,C, ,0,1.005,40,1616.5364,5,75,Orange,5,1616.53644811614
4421,87062000,L, ,3.999,4.072,35,117.3277,6,87,Miami-Dade,6,117.327699756133
4422,13100000,C, ,0,5.493,45,8826.9617,1,13,Manatee,1,8826.96169013694
4423,58030000,C, ,0,2.25,35,3636.9254,3,58,Santa Rosa,3,3636.92544238535
4424,12000080,C, ,0,1.954,45,3146.0277,1,12,Lee,1,3146.02765404209
4425,87080000,L, ,1.555,2.358,30,1291.5159,6,87,Miami-Dade,6,1291.51591644847
4426,12000122,C, ,0,0.85,35,1398.0647,1,12,Lee,1,1398.06466564521
4427,87080347,C, ,1.026,1.042,30,22.8476,6,87,Miami-Dade,6,22.8475572908562
4428,36540000,C, ,9.011,10.49,45,2379.3192,5,36,Marion,5,2379.31918394251
4429,70000207,C, ,0.99,6.69,40,9176.589,5,70,Brevard,5,9176.58897714107
4430,75530000,R, ,8.461,8.6,30,224.4436,5,75,Orange,5,224.443603401178
4431,60050000,C, ,13.365,13.514,55,240.5029,3,60,Walton,3,240.502877721657
4432,87000009,C, ,4.563,8.092,25,5676.5421,6,87,Miami-Dade,6,5676.5420802181
4433,75000298,C, ,0.612,0.645,25,53.1409,5,75,Orange,5,53.1409352106035
4434,37000010,C, ,6.342,9.734,40,5458.9022,2,37,Suwannee,2,5458.90220918427
4435,75340000,C, ,9.02,9.296,55,444.1991,5,75,Orange,5,444.199132408976
4436,12550000,C, ,11.026,14.244,25,5180.4421,1,12,Lee,1,5180.44210196572
4437,61040000,C, ,20.163,20.485,45,519.2466,3,61,Washington,3,519.246574002086
4438,13504000,C, ,0,0.562,35,892.4374,1,13,Manatee,1,892.437361069521
4439,75000379,C, ,0,1.717,45,2763.52,5,75,Orange,5,2763.51999368403
4440,75000173,C, ,0.765,1.17,25,650.2339,5,75,Orange,5,650.233895584927
4441,87091000,C, ,0.175,4.028,45,6181.1335,6,87,Miami-Dade,6,6181.13347330506
4442,87054000,R, ,0,0.672,30,1079.8144,6,87,Miami-Dade,6,1079.81442568953
4443,70000021,C, ,1.801,2.477,35,1087.7929,5,70,Brevard,5,1087.79293856955
4444,70000384,C, ,0,1.734,40,2793.3044,5,70,Brevard,5,2793.30440639461
4445,13020000,C, ,6.772,10.299,50,5673.1831,1,13,Manatee,1,5673.18307802944
4446,31530000,C, ,6.006,7.433,45,2296.2359,2,31,Gilchrist,2,2296.23588837739
4447,93080000,C, ,0.99,1.26,30,433.309,4,93,Palm Beach,4,433.309019018654
4448,12020000,C, ,11.602,16.911,55,8553.4978,1,12,Lee,1,8553.49775363422
4449,61510000,C, ,9.193,12.143,35,4756.2749,3,61,Washington,3,4756.27492892587
4450,76000036,C, ,1.045,2.26,30,1955.1962,2,76,Putnam,2,1955.19620435291
4451,70000114,C, ,0.254,4.959,45,7577.1212,5,70,Brevard,5,7577.12117198319
4452,70000159,C, ,0,1.669,35,2688.2844,5,70,Brevard,5,2688.28439427098
4453,75530000,R, ,0.845,2.149,45,2105.7012,5,75,Orange,5,2105.70118290299
4454,12000236,C, ,0.909,2.319,35,2270.7765,1,12,Lee,1,2270.77649186316
4455,75000445,C, ,0,1.374,25,2214.7681,5,75,Orange,5,2214.76810161321
4456,75000274,C, ,0,1.941,45,3115.5784,5,75,Orange,5,3115.57841247938
4457,75630500,C, ,2.512,3.012,45,804.3246,5,75,Orange,5,804.324589050896
4458,75703000,C, ,1.17,1.78,25,981.2849,5,75,Orange,5,981.284882206232
4459,87044000,R, ,6.263,8.466,35,3534.3536,6,87,Miami-Dade,6,3534.35358690095
4460,87025000,C, ,0,1.2,30,1902.0451,6,87,Miami-Dade,6,1902.04510993667
4461,35010000,C, ,27.49,27.57,40,128.7496,2,35,Madison,2,128.749576598994
4462,26600000,C, ,0,0.576,30,927.9283,2,26,Alachua,2,927.928339729569
4463,72016000,C, ,5.709,6.717,60,1624.3214,2,72,Duval,2,1624.32143301459
4464,11000067,C, ,0,1.698,45,2725.5331,5,11,Lake,5,2725.53313129125
4465,48012000,C, ,9.17,9.601,30,696.453,3,48,Escambia,3,696.452992901433
4466,88000031,C, ,0,0.924,25,1493.4497,4,88,Indian River,4,1493.44969218058
4467,90530001,C, ,2.157,6.703,30,7321.6582,6,90,Monroe,6,7321.65819374702
4468,17000542,C, ,0.881,1.3,30,682.4629,1,17,Sarasota,1,682.462872577772
4469,93000037,C, ,0,2.074,30,3328.5921,4,93,Palm Beach,4,3328.59206585965
4470,01000043,C, ,0,2.958,35,4757.334,1,01,Charlotte,1,4757.33395621761
4471,79000050,C, ,0,0.48,30,771.3746,5,79,Volusia,5,771.374626390701
4472,75000084,C, ,0,1.8,40,2920.1756,5,75,Orange,5,2920.17558490593
4473,09000512,C, ,0,2.004,45,3220.9814,1,09,Highlands,1,3220.98142478092
4474,08520001,C, ,0,0.786,30,1265.2605,7,08,Hernando,7,1265.26054300637
4475,15000289,C, ,0,0.586,35,943.0121,7,15,Pinellas,7,943.012099784353
4476,57130000,C, ,1.323,2.2,45,1414.6426,3,57,Okaloosa,3,1414.64257917431
4477,87522500,C, ,1.154,1.418,25,425.9256,6,87,Miami-Dade,6,425.92556985367
4478,79010000,C, ,20.1,21.9,55,2896.3925,5,79,Volusia,5,2896.39253993228
4479,79000131,C, ,0,2.201,25,3516.3383,5,79,Volusia,5,3516.33825195031
4480,11000096,C, ,0.791,2.284,35,2391.097,5,11,Lake,5,2391.09704026936
4481,55010000,C, ,7.78,9.83,35,3294.2282,3,55,Leon,3,3294.22817135535
4482,79120000,C, ,4.65,7.25,45,4184.0788,5,79,Volusia,5,4184.07879473872
4483,26555000,C, ,0,0.42,35,676.2892,2,26,Alachua,2,676.289185193986
4484,79000351,C, ,0,1.398,25,2250.2131,5,79,Volusia,5,2250.21309386185
4485,15200000,C, ,0.345,5.144,35,7713.5998,7,15,Pinellas,7,7713.59975998229
4486,92000103,L, ,3.226,3.428,45,325.4562,5,92,Osceola,5,325.456223475835
4487,88040000,C, ,26.602,30.642,45,6506.0001,4,88,Indian River,4,6506.00012231601
4488,92030000,C, ,0,0.29,40,466.8683,5,92,Osceola,5,466.868306837785
4489,52030000,C, ,4.58,16.43,55,19105.4915,3,52,Holmes,3,19105.4914888178
4490,93000056,C, ,0,0.339,30,545.8181,4,93,Palm Beach,4,545.818142592373
4491,08520000,C, ,9.037,9.267,30,369.5834,7,08,Hernando,7,369.583406836791
4492,79000013,C, ,0.665,0.888,30,358.811,5,79,Volusia,5,358.811044992143
4493,10250000,C, ,6.845,8.631,30,2872.6625,7,10,Hillsborough,7,2872.66250346963
4494,88000423,C, ,1.703,2.237,50,863.9553,4,88,Indian River,4,863.955310706765
4495,90540003,C, ,0,0.917,25,1478.3318,6,90,Monroe,6,1478.33175513149
4496,79050000,C, ,15.602,15.936,50,537.499,5,79,Volusia,5,537.498969599622
4497,08002000,C, ,1.3,1.786,40,781.6503,7,08,Hernando,7,781.650325824345
4498,08020000,R, ,7.51,19.514,60,19311.5639,7,08,Hernando,7,19311.5639016474
4499,08505000,C, ,6.122,6.805,55,1098.3039,7,08,Hernando,7,1098.30394980849
4500,15000253,C, ,4.71,4.959,30,400.466,7,15,Pinellas,7,400.466002784925
4501,26110000,C, ,7.402,7.726,35,522.0433,2,26,Alachua,2,522.043319134712
4502,92060000,C, ,4.633,4.733,50,161.0916,5,92,Osceola,5,161.091625710318
4503,16470000,C, ,12.822,18.106,65,8501.692,1,16,Polk,8,8501.69204263613
4504,79000105,C, ,0,0.545,30,874.6122,5,79,Volusia,5,874.61215401959
4505,11010000,C, ,3.074,4.053,35,1576.1521,5,11,Lake,5,1576.15207746721
4506,55020000,C, ,4.78,7,45,3574.5498,3,55,Leon,3,3574.54980138746
4507,79090000,C, ,11.337,11.937,45,965.59,5,79,Volusia,5,965.590003516448
4508,55000123,C, ,0,0.671,35,1081.6317,3,55,Leon,3,1081.63173498756
4509,79001000,C, ,0,1.794,55,2885.9755,5,79,Volusia,5,2885.97553400118
4510,11000010,C, ,0,2.015,45,3244.1576,5,11,Lake,5,3244.1576171611
4511,15501000,C, ,1.932,5.312,40,5442.5603,7,15,Pinellas,7,5442.56028019137
4512,92000103,R, ,3.226,3.428,45,325.4562,5,92,Osceola,5,325.456223475835
4513,88050000,C, ,5.879,8.485,40,4191.5417,4,88,Indian River,4,4191.54173755662
4514,92030000,C, ,19.297,19.927,65,1014.3697,5,92,Osceola,5,1014.36968764359
4515,10030000,C, ,2.417,4.184,45,2841.8854,7,10,Hillsborough,7,2841.88542774707
4516,17000116,C, ,0,0.505,25,806.2408,1,17,Sarasota,1,806.240830343882
4517,86560000,C, ,1.281,2.473,35,1918.1119,4,86,Broward,4,1918.11189397598
4518,79000048,C, ,0,1.291,30,2075.4405,5,79,Volusia,5,2075.44052602766
4519,10340000,C, ,2.504,3.381,35,1411.3777,7,10,Hillsborough,7,1411.37765757984
4520,09030000,C, ,4.259,8.971,50,7585.0812,1,09,Highlands,1,7585.08120035837
4521,90030000,R, ,0,0.165,45,264.474,6,90,Monroe,6,264.473986125849
4522,79050000,C, ,3.195,5.16,55,3162.4804,5,79,Volusia,5,3162.4803828469
4523,15000275,C, ,0,2.004,25,3229.6607,7,15,Pinellas,7,3229.66070501961
4524,57110028,C, ,0,0.315,35,509.3172,3,57,Okaloosa,3,509.317208649205
4525,15180500,C, ,0.433,1.756,35,2119.2056,7,15,Pinellas,7,2119.20564549978
4526,79040000,C, ,9.734,11.182,50,2333.3808,5,79,Volusia,5,2333.38079376717
4527,79000145,C, ,0,0.55,35,884.758,5,79,Volusia,5,884.758029657473
4528,11010000,C, ,13.815,14.742,45,1492.2452,5,11,Lake,5,1492.24515598753
4529,11020000,C, ,12.685,13.011,50,523.853,5,11,Lake,5,523.852967658297
4530,79100000,C, ,24.239,24.39,60,243.0125,5,79,Volusia,5,243.012499823208
4531,26500000,C, ,5.879,6.345,45,750.6949,2,26,Alachua,2,750.694949009318
4532,79000182,C, ,0.868,3.165,35,3692.9369,5,79,Volusia,5,3692.93685822129
4533,87000559,R, ,0,0.568,25,917.8763,6,87,Miami-Dade,6,917.876302656432
4534,12640000,C, ,0,2.053,45,3294.1597,1,12,Lee,1,3294.15972677083
4535,61001000,C, ,12.906,12.908,70,3.2246,3,61,Washington,3,3.22458349225946
4536,35503000,C, ,5.497,10.002,35,7257.4603,2,35,Madison,2,7257.46027143745
4537,87140000,L, ,3.436,4.716,30,2060.3989,6,87,Miami-Dade,6,2060.39888402083
4538,75000377,C, ,0,0.522,25,833.0346,5,75,Orange,5,833.034562409302
4539,75000269,R, ,2.36,3.273,40,1483.237,5,75,Orange,5,1483.23695026001
4540,87103000,C, ,0.087,1.093,40,1614.0067,6,87,Miami-Dade,6,1614.00670770961
4541,87060000,L, ,0,2.573,45,4142.6523,6,87,Miami-Dade,6,4142.65230279709
4542,87017000,L, ,0.145,0.373,35,368.2374,6,87,Miami-Dade,6,368.237415950582
4543,87066000,R, ,1.7,2.675,35,1571.5212,6,87,Miami-Dade,6,1571.52119958929
4544,13130403,C, ,0,0.403,45,653.3907,1,13,Manatee,1,653.390687535605
4545,32000014,C, ,3.927,10.157,30,10033.651,2,32,Hamilton,2,10033.650951216
4546,93100000,C, ,12.05,12.599,35,883.5667,4,93,Palm Beach,4,883.566681352433
4547,12000097,C, ,3.339,4.807,50,2357.7877,1,12,Lee,1,2357.78766811238
4548,87080001,C, ,0,0.275,25,442.064,6,87,Miami-Dade,6,442.06401591388
4549,70001000,C, ,2.584,3.284,45,1127.149,5,70,Brevard,5,1127.14898728432
4550,70000190,C, ,0,3.475,35,5612.2074,5,70,Brevard,5,5612.20737677386
4551,70000048,C, ,0,0.639,25,1026.2421,5,70,Brevard,5,1026.24205332029
4552,75530000,C, ,8.6,8.704,30,167.9503,5,75,Orange,5,167.950343002247
4553,60060000,C, ,21.545,21.565,40,32.2186,3,60,Walton,3,32.218557324268
4554,75000461,C, ,0,0.745,30,1198.1589,5,75,Orange,5,1198.15890101418
4555,75000298,L, ,0.716,2.199,35,2388.0559,5,75,Orange,5,2388.05590535179
4556,87000530,C, ,0.209,0.245,30,58.0628,6,87,Miami-Dade,6,58.0627650436269
