FID,ROADWAY,ROAD_SIDE,OFFSET_DIR,BEGIN_POST,END_POST,SPEED,Shape_Leng,DISTRICT,COUNTYDOT,COUNTY,MNG_DIST,Shape__Length
412,11670000,C, ,3.357,3.863,45,815.5678,5,11,Lake,5,815.567819519686
413,29040000,C, ,0.985,1.376,45,629.0711,2,29,Columbia,2,629.071057688026
414,33010000,C, ,0,12.705,60,20451.986,2,33,Lafayette,2,20451.9860246607
415,36090000,C, ,16.45,16.804,45,568.852,5,36,Marion,5,568.852044474658
416,56502000,C, ,8.389,9.442,55,1696.6476,3,56,Liberty,3,1696.64759088505
417,94504500,C, ,0,0.57,45,915.1917,4,94,St. Lucie,4,915.19171834953
418,94010000,C, ,0,5.825,45,9374.2844,4,94,St. Lucie,4,9374.28439636243
419,26690000,C, ,0,1.129,55,1819.5764,2,26,Alachua,2,1819.57638046312
420,75037000,C, ,0,2.693,45,4327.5789,5,75,Orange,5,4327.57887601084
421,29070000,C, ,1.913,2.425,35,823.6643,2,29,Columbia,2,823.664274287218
422,11100000,C, ,5.64,5.8,45,257.4287,5,11,Lake,5,257.428668695379
423,60020000,C, ,17.769,23.962,65,9997.6049,3,60,Walton,3,9997.604945038
424,14000048,R, ,0,3.298,55,5296.3954,7,14,Pasco,7,5296.39543954574
425,36000170,C, ,0,0.98,45,1577.249,5,36,Marion,5,1577.24897469558
426,26640000,C, ,0,7.893,55,12701.9122,2,26,Alachua,2,12701.9121639919
427,87000142,R, ,0,2,40,3216.9581,6,87,Miami-Dade,6,3216.95806091397
428,70000410,C, ,0,1.02,35,1648.738,5,70,Brevard,5,1648.73795818329
429,93470000,C, ,21.3,44.561,70,37414.6981,4,93,Palm Beach,8,37414.6981114108
430,34511000,C, ,0,2.007,45,3230.6152,2,34,Levy,2,3230.61524257037
431,75020000,C, ,10.316,10.87,35,891.6339,5,75,Orange,5,891.633911484111
432,34010000,C, ,22,22.247,40,397.6821,2,34,Levy,2,397.682081715303
433,34110001,C, ,0,0.063,45,102.604,2,34,Levy,2,102.603952966521
434,93170000,C, ,0,0.54,35,868.8617,4,93,Palm Beach,4,868.861738469647
435,75200000,C, ,0.491,2.4,45,3071.9789,5,75,Orange,5,3071.97890519975
436,87250000,R, ,2.802,3.573,30,1239.9558,6,87,Miami-Dade,6,1239.95578000587
437,75120000,C, ,0,0.3,45,485.9895,5,75,Orange,5,485.989536079989
438,30590000,C, ,0,4.607,45,7414.9771,2,30,Dixie,2,7414.97709370174
439,93110001,C, ,1.2,17.6,65,26392.516,4,93,Palm Beach,4,26392.5160408061
440,76600000,C, ,0,0.748,45,1203.7336,2,76,Putnam,2,1203.73356260832
441,36010000,C, ,24.07,24.959,35,1428.4862,5,36,Marion,5,1428.48619059423
442,55210000,C, ,3.714,4.631,30,1473.2175,3,55,Leon,3,1473.21752794975
443,94040000,C, ,0,1.22,35,1971.5109,4,94,St. Lucie,4,1971.5108508556
444,26580000,C, ,0,3.752,55,6037.5328,2,26,Alachua,2,6037.5328172612
445,11090000,C, ,21.541,23.873,50,3749.4452,5,11,Lake,5,3749.44517365894
446,60010000,C, ,14.31,14.656,45,558.5365,3,60,Walton,3,558.536483820721
447,29508000,C, ,0,0.924,35,1487.4339,2,29,Columbia,2,1487.43393001333
448,14000019,C, ,1.532,1.985,40,728.651,7,14,Pasco,7,728.651000263584
449,12001101,C, ,1.29,2.29,45,1609.2904,1,12,Lee,1,1609.29037196996
450,27000004,C, ,0,0.707,30,1137.6867,2,27,Baker,2,1137.68674884413
451,87000109,C, ,1.547,1.945,35,642.8587,6,87,Miami-Dade,6,642.858694208505
452,70000378,C, ,0,1.27,35,2037.1294,5,70,Brevard,5,2037.1293803207
453,87000400,C, ,0.02,1.2,30,1909.9813,6,87,Miami-Dade,6,1909.98129646981
454,57030000,C, ,22.566,23.444,25,1417.7935,3,57,Okaloosa,3,1417.79347314549
455,75030000,C, ,1.503,2.118,35,989.7351,5,75,Orange,5,989.735083681128
456,11682000,C, ,1.009,1.623,35,988.2765,5,11,Lake,5,988.27645864986
457,11240000,C, ,5.959,6.291,25,534.3914,5,11,Lake,5,534.391378613402
458,36530000,C, ,0.678,3.513,55,4554.7851,5,36,Marion,5,4554.78507875041
459,75000113,C, ,0.282,0.344,30,97.1658,5,75,Orange,5,97.1657621670532
460,75040102,C, ,0.511,1.8,25,2073.0675,5,75,Orange,5,2073.06754374568
461,30010000,C, ,15.97,16.255,35,458.8361,2,30,Dixie,2,458.836095893119
462,30030000,C, ,23.67,23.87,45,322.0864,2,30,Dixie,2,322.086378747673
463,76590000,C, ,3.846,5.572,45,2778.9457,2,76,Putnam,2,2778.94565329968
464,36004000,C, ,1.17,2.3,35,1821.2667,5,36,Marion,5,1821.26667468134
465,28000002,C, ,0,1.061,30,1704.5035,2,28,Bradford,2,1704.50345319115
466,76636000,C, ,1.748,2.314,40,911.4947,2,76,Putnam,2,911.494693052558
467,26150000,C, ,4.971,5.113,45,228.841,2,26,Alachua,2,228.840956422973
468,75190000,C, ,3.47,3.53,45,96.6038,5,75,Orange,5,96.6037671969005
469,87210000,R, ,0,1.316,55,2120.8232,6,87,Miami-Dade,6,2120.82315425517
470,29020000,C, ,5.003,5.192,45,304.1315,2,29,Columbia,2,304.131512370477
