FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
807,139,1,01,03001000,3.6,4.4,SR   84,0.8,0,0,0,0,0,0,0,0,0,12,29,41,23,49,47,14,21,67,26,50,52,0,0,0,23,49,47,Y
808,535,1,01,12004000,1.9,2.2,SR  865,0.3,0,0,0,0,0,0,0,0,0,4,7,57,8,13,62,0,1,0,4,8,50,0,0,0,8,13,62,Y
809,4102,2,02,72230000,0.9,1.4,SR  A1A,0.5,0,0,0,0,0,0,0,0,0,11,28,39,16,39,41,9,28,32,20,56,36,0,0,0,16,39,41,Y
810,3568,2,02,72030000,2.6,2.9,SR   15,0.3,0,0,0,0,0,0,0,0,0,5,7,71,8,13,62,1,3,33,6,10,60,0,0,0,8,13,62,Y
811,736,1,01,12070000,17.6,18.1,SR   82,0.5,1,2,50,2,3,67,0,0,0,3,4,75,7,8,88,2,3,67,6,9,67,2,3,67,7,8,88,Y
812,5149,3,03,46160000,4.703,5.203,SR   30A,0.5,0,0,0,0,0,0,0,0,0,6,11,55,9,15,60,2,7,29,8,18,44,0,0,0,9,15,60,N
813,2500,2,02,27090014,0,0.188,SR    8,0.188,0,0,0,0,0,0,0,0,0,2,5,40,2,7,29,2,6,33,4,11,36,0,0,0,2,7,29,N
814,3094,2,02,72001000,4.033,4.433,SR    9A,0.4,0,0,0,0,0,0,0,0,0,6,16,38,6,24,25,12,34,35,18,50,36,0,0,0,6,24,25,Y
815,1312,1,01,16100102,0,0.264,SR  546,0.264,0,0,0,0,0,0,0,0,0,7,10,70,10,13,77,6,14,43,13,24,54,0,0,0,10,13,77,Y
816,286,1,01,03175000,55.063,55.563,SR   93,0.5,0,0,0,0,0,0,0,0,0,4,8,50,6,20,30,3,5,60,7,13,54,0,0,0,6,20,30,Y
817,4924,2,02,78080000,34.4,34.7,SR    9,0.3,0,0,0,0,0,0,0,0,0,2,2,100,2,2,100,2,9,22,4,11,36,0,0,0,2,2,100,Y
818,22,1,01,01010000,21.7,22.1,SR   45,0.4,0,0,0,0,0,0,0,0,0,15,47,32,21,73,29,10,21,48,25,68,37,0,0,0,21,73,29,Y
819,1783,1,01,17020000,2.6,2.9,SR   45,0.3,0,0,0,0,0,0,0,0,0,11,27,41,18,51,35,8,27,30,19,54,35,0,0,0,18,51,35,Y
820,3706,2,02,72060000,1.1,1.5,SR    5,0.4,0,0,0,0,0,0,0,0,0,12,25,48,17,41,41,8,13,62,20,38,53,0,0,0,17,41,41,Y
821,5692,3,03,48205000,0.721,1.021,SR  173,0.3,0,0,0,0,0,0,0,0,0,2,8,25,2,9,22,4,8,50,6,16,38,0,0,0,2,9,22,Y
822,3460,2,02,72010000,12.9,13.2,SR   10,0.3,0,0,0,0,0,0,0,0,0,3,5,60,4,6,67,1,1,100,4,6,67,0,0,0,4,6,67,Y
823,4696,2,02,78010000,17.5,18,SR    5,0.5,1,1,100,1,1,100,0,0,0,6,17,35,7,20,35,6,19,32,13,37,35,1,1,100,7,20,35,N
824,649,1,01,12040000,0.5,0.9,SR  867,0.4,0,1,0,0,1,0,0,0,0,7,18,39,8,28,29,6,13,46,13,32,41,0,1,0,8,28,29,Y
825,4531,2,02,76010000,23.3,23.9,SR   15,0.6,0,0,0,0,0,0,0,0,0,10,15,67,17,27,63,7,15,47,17,30,57,0,0,0,17,27,63,N
826,3994,2,02,72160000,11.9,12.5,SR   13,0.6,1,1,100,1,1,100,0,0,0,6,13,46,8,15,53,3,12,25,10,26,38,1,1,100,8,15,53,Y
827,1891,1,01,17075000,5.9,6.3,SR   93,0.4,0,1,0,0,1,0,0,3,0,3,13,23,5,16,31,7,14,50,10,28,36,0,1,0,5,19,26,N
828,3667,2,02,72040131,0.1,0.4,SR  115,0.3,0,0,0,0,0,0,0,0,0,3,8,38,5,11,45,2,4,50,5,12,42,0,0,0,5,11,45,Y
829,1486,1,01,16180000,26.2,26.7,SR   25,0.5,0,0,0,0,0,0,0,0,0,3,8,38,11,20,55,7,13,54,10,21,48,0,0,0,11,20,55,N
830,3907,2,02,72120000,6.676,6.976,SR  228,0.3,0,1,0,0,1,0,0,0,0,2,4,50,2,6,33,3,6,50,5,11,45,0,1,0,2,6,33,Y
831,3757,2,02,72070000,7.7,8,SR    5,0.3,0,0,0,0,0,0,0,0,0,2,8,25,3,19,16,3,6,50,5,14,36,0,0,0,3,19,16,Y
832,880,1,01,13020000,1.6,1.9,SR   43,0.3,0,1,0,0,1,0,0,1,0,3,7,43,6,11,55,2,4,50,5,12,42,0,1,0,6,12,50,Y
833,430,1,01,07030000,1.6,1.9,SR   25,0.3,0,0,0,0,0,0,0,0,0,1,2,50,2,3,67,3,5,60,4,7,57,0,0,0,2,3,67,N
834,550,1,01,12005000,3.471,3.871,SR  884,0.4,0,0,0,0,0,0,0,0,0,2,3,67,3,4,75,2,7,29,4,10,40,0,0,0,3,4,75,Y
835,3583,2,02,72030000,8.8,9.1,SR   15,0.3,0,0,0,0,0,0,0,0,0,1,5,20,3,7,43,8,16,50,9,21,43,0,0,0,3,7,43,Y
836,1327,1,01,16110000,2.3,3,SR   60,0.7,0,1,0,0,1,0,0,2,0,9,22,41,11,40,28,4,11,36,13,34,38,0,1,0,11,42,26,Y
837,1387,1,01,16140000,5.7,6,SR  544,0.3,0,0,0,0,0,0,0,0,0,3,6,50,9,12,75,4,8,50,7,14,50,0,0,0,9,12,75,Y
838,1084,1,01,16004000,1.349,2.249,SR  539,0.9,2,2,100,2,2,100,2,2,100,18,37,49,37,61,61,6,12,50,26,51,51,2,2,100,39,63,62,Y
839,184,1,01,03010000,18.9,19.2,SR   90,0.3,0,0,0,0,0,0,0,0,0,5,11,45,10,23,43,3,4,75,8,15,53,0,0,0,10,23,43,Y
840,781,1,01,12075000,11.4,11.9,SR   93,0.5,0,0,0,0,0,0,0,0,0,6,15,40,18,30,60,5,15,33,11,30,37,0,0,0,18,30,60,Y
841,3358,2,02,72002000,21.3,21.7,SR    9A,0.4,1,1,100,1,1,100,0,0,0,5,13,38,11,23,48,9,20,45,15,34,44,1,1,100,11,23,48,Y
842,331,1,01,04020000,13.7,14,SR   35,0.3,1,1,100,1,1,100,0,0,0,6,9,67,7,10,70,1,3,33,8,13,62,1,1,100,7,10,70,N
843,1228,1,01,16060000,11.821,12.222,SR   35,0.401,0,0,0,0,0,0,0,0,0,6,16,38,10,21,48,2,6,33,8,22,36,0,0,0,10,21,48,Y
844,3286,2,02,72001314,0,0.207,SR    9A,0.207,0,0,0,0,0,0,0,0,0,1,3,33,2,4,50,4,5,80,5,8,62,0,0,0,2,4,50,Y
845,2971,2,02,38030000,4.5,5,SR   20,0.5,0,0,0,0,0,0,0,0,0,5,7,71,6,11,55,2,3,67,7,10,70,0,0,0,6,11,55,N
846,985,1,01,13075000,19.3,19.7,SR   93A,0.4,0,0,0,0,0,0,0,0,0,3,4,75,4,6,67,2,10,20,5,14,36,0,0,0,4,6,67,N
847,3544,2,02,72020092,0,0.181,SR    9,0.181,0,0,0,0,0,0,0,0,0,5,10,50,5,12,42,5,12,42,10,22,45,0,0,0,5,12,42,Y
848,85,1,01,01075000,5.2,5.8,SR   93,0.6,0,0,0,0,0,0,0,0,0,4,6,67,8,10,80,0,1,0,4,7,57,0,0,0,8,10,80,N
849,3040,2,02,71020000,11.6,12,SR   15,0.4,0,0,0,0,0,0,0,0,0,0,6,0,0,14,0,6,10,60,6,16,38,0,0,0,0,14,0,Y
850,3187,2,02,72001000,26.933,27.433,SR    9A,0.5,0,1,0,0,4,0,0,5,0,8,17,47,9,23,39,13,33,39,21,51,41,0,4,0,9,28,32,Y
851,3826,2,02,72090166,0,0.116,SR  228,0.116,0,0,0,0,0,0,0,0,0,3,4,75,4,5,80,3,8,38,6,12,50,0,0,0,4,5,80,Y
852,226,1,01,03175000,12.963,13.363,SR   93,0.4,0,1,0,0,1,0,0,0,0,2,2,100,4,4,100,2,2,100,4,5,80,0,1,0,4,4,100,N
853,619,1,01,12010000,28.8,29.3,SR   45,0.5,0,0,0,0,0,0,0,0,0,3,9,33,5,15,33,6,12,50,9,21,43,0,0,0,5,15,33,Y
854,823,1,01,12075000,25.3,25.7,SR   93,0.4,0,0,0,0,0,0,0,0,0,5,14,36,14,27,52,5,8,62,10,22,45,0,0,0,14,27,52,Y
855,3400,2,02,72002063,0.4,0.638,SR    9A,0.238,0,0,0,0,0,0,0,0,0,2,2,100,3,3,100,2,4,50,4,6,67,0,0,0,3,3,100,Y
856,3964,2,02,72150000,7.293,8.293,SR  115,1,0,0,0,0,0,0,0,0,0,13,35,37,17,52,33,18,35,51,31,70,44,0,0,0,17,52,33,Y
857,373,1,01,06010000,8.2,8.5,SR   35,0.3,0,0,0,0,0,0,0,0,0,2,2,100,6,6,100,2,4,50,4,6,67,0,0,0,6,6,100,N
858,493,1,01,09060000,27.9,28.4,SR   70,0.5,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,3,3,100,6,6,100,0,0,0,3,3,100,N
859,3637,2,02,72040000,8.9,9.2,SR  115,0.3,0,0,0,0,0,0,0,0,0,1,2,50,2,3,67,3,7,43,4,9,44,0,0,0,2,3,67,Y
860,1270,1,01,16090000,11.1,11.6,SR   17,0.5,0,0,0,0,0,0,0,0,0,3,6,50,3,8,38,4,6,67,7,12,58,0,0,0,3,8,38,N
861,3328,2,02,72002000,10.6,11,SR    9A,0.4,0,0,0,0,0,0,0,0,0,5,10,50,10,20,50,6,15,40,11,25,44,0,0,0,10,20,50,Y
862,1456,1,01,16180000,12.7,13,SR   25,0.3,0,0,0,0,0,0,0,0,0,1,3,33,1,3,33,4,5,80,5,8,62,0,0,0,1,3,33,Y
863,2827,2,02,34110000,19.273,19.573,SR  345,0.3,0,0,0,0,0,0,0,0,0,2,5,40,6,10,60,2,6,33,4,11,36,0,0,0,6,10,60,N
864,3877,2,02,72100000,15.9,16.9,SR  A1A,1,0,0,0,0,0,0,0,0,0,11,36,31,13,44,30,22,32,69,33,68,49,0,0,0,13,44,30,Y
865,1027,1,01,13130001,0,0.174,SR   55,0.174,0,0,0,0,0,0,0,0,0,8,19,42,13,29,45,7,21,33,15,40,38,0,0,0,13,29,45,Y
866,3121,2,02,72001000,12.233,12.633,SR    9A,0.4,0,0,0,0,0,0,0,0,0,2,3,67,2,3,67,5,10,50,7,13,54,0,0,0,2,3,67,Y
867,127,1,01,01075000,21.6,22,SR   93,0.4,0,0,0,0,0,0,0,0,0,3,6,50,6,10,60,2,6,33,5,12,42,0,0,0,6,10,60,Y
868,724,1,01,12070000,11.9,12.4,SR   82,0.5,1,1,100,1,1,100,4,4,100,5,10,50,8,13,62,0,2,0,6,13,46,1,1,100,12,17,71,Y
869,3082,2,02,71393000,0.8,1.3,SR   23,0.5,0,0,0,0,0,0,0,0,0,7,12,58,10,20,50,3,9,33,10,21,48,0,0,0,10,20,50,Y
870,274,1,01,03175000,49.863,50.263,SR   93,0.4,0,0,0,0,0,0,0,0,0,3,5,60,5,7,71,1,5,20,4,10,40,0,0,0,5,7,71,Y
871,1171,1,01,16020102,0.1,0.4,SR  600,0.3,0,0,0,0,0,0,0,0,0,3,8,38,5,14,36,1,3,33,4,11,36,0,0,0,5,14,36,Y
872,3229,2,02,72001012,0,0.077,SR    9A,0.077,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,6,11,55,6,13,46,0,0,0,0,4,0,Y
873,3718,2,02,72060000,5.7,6,SR    5,0.3,0,0,0,0,0,0,0,0,0,3,5,60,3,5,60,1,2,50,4,7,57,0,0,0,3,5,60,Y
874,2920,2,02,37120000,16.4,16.8,SR    8,0.4,0,1,0,0,1,0,0,1,0,1,1,100,1,1,100,3,7,43,4,9,44,0,1,0,1,2,50,N
875,3472,2,02,72012000,2.1,2.4,SR  103,0.3,0,0,0,0,0,0,0,0,0,2,8,25,3,17,18,4,8,50,6,16,38,0,0,0,3,17,18,Y
876,661,1,01,12040000,4,4.6,SR  867,0.6,0,0,0,0,0,0,0,0,0,6,10,60,10,15,67,2,4,50,8,14,57,0,0,0,10,15,67,Y
877,2983,2,02,39020000,5.729,6.229,SR  121,0.5,0,0,0,0,0,0,0,0,0,5,5,100,9,9,100,0,1,0,5,6,83,0,0,0,9,9,100,N
878,3679,2,02,72040333,0.1,0.7,SR  115,0.6,0,0,0,0,0,0,0,0,0,13,26,50,18,44,41,34,101,34,47,127,37,0,0,0,18,44,41,Y
879,1498,1,01,16180000,28.4,28.7,SR   25,0.3,0,0,0,0,0,0,0,0,0,3,8,38,4,12,33,3,4,75,6,12,50,0,0,0,4,12,33,N
880,3919,2,02,72120000,13.876,14.176,SR  228,0.3,0,0,0,0,0,0,0,0,0,4,12,33,9,21,43,1,2,50,5,14,36,0,0,0,9,21,43,Y
881,3769,2,02,72070000,15,15.5,SR    5,0.5,0,0,0,0,0,0,0,0,0,4,7,57,6,11,55,7,15,47,11,22,50,0,0,0,6,11,55,Y
882,892,1,01,13020000,6.9,7.2,SR   43,0.3,0,0,0,0,0,0,0,0,0,4,6,67,8,12,67,0,0,0,4,6,67,0,0,0,8,12,67,Y
883,442,1,01,07030000,9.8,10.4,SR   25,0.6,2,2,100,2,2,100,0,0,0,3,5,60,4,7,57,3,4,75,8,11,73,2,2,100,4,7,57,N
884,1135,1,01,16020000,8.849,9.449,SR  600,0.6,2,2,100,2,2,100,5,5,100,23,74,31,32,105,30,21,50,42,46,126,37,2,2,100,37,110,34,Y
885,562,1,01,12010000,5,5.5,SR   45,0.5,0,2,0,0,2,0,0,0,0,5,8,62,8,14,57,1,3,33,6,13,46,0,2,0,8,14,57,Y
886,3595,2,02,72031000,2.2,2.77,SR  113,0.57,2,2,100,2,2,100,0,0,0,8,16,50,8,21,38,9,20,45,19,38,50,2,2,100,8,21,38,Y
887,1339,1,01,16110000,10.6,11.1,SR   60,0.5,0,0,0,0,0,0,0,0,0,4,6,67,4,6,67,2,4,50,6,10,60,0,0,0,4,6,67,Y
888,1399,1,01,16160000,1.3,1.8,SR  559,0.5,0,1,0,0,1,0,0,0,0,4,9,44,6,14,43,2,2,100,6,12,50,0,1,0,6,14,43,Y
889,1096,1,01,16010000,0.2,0.7,SR  600,0.5,0,0,0,0,0,0,0,0,0,3,7,43,3,13,23,2,3,67,5,10,50,0,0,0,3,13,23,Y
890,3409,2,02,72002102,0,0.3,SR    9A,0.3,0,0,0,0,0,0,0,0,0,3,4,75,5,6,83,1,4,25,4,8,50,0,0,0,5,6,83,Y
891,196,1,01,03030000,9.606,9.678,SR  951,0.072,0,0,0,0,0,0,0,0,0,9,26,35,15,45,33,13,26,50,22,52,42,0,0,0,15,45,33,Y
892,793,1,01,12075000,14.7,15.1,SR   93,0.4,0,0,0,0,0,0,0,0,0,0,7,0,0,12,0,4,4,100,4,11,36,0,0,0,0,12,0,Y
893,3370,2,02,72002010,0,0.3,SR    9A,0.3,0,1,0,0,1,0,0,1,0,4,7,57,6,12,50,5,12,42,9,20,45,0,1,0,6,13,46,Y
894,343,1,01,05010000,10.5,11,SR   25,0.5,0,1,0,0,1,0,0,0,0,3,6,50,3,6,50,3,6,50,6,13,46,0,1,0,3,6,50,N
895,1240,1,01,16070000,4.647,5.247,SR   33,0.6,0,0,0,0,0,0,0,0,0,10,20,50,16,31,52,7,15,47,17,35,49,0,0,0,16,31,52,Y
896,3298,2,02,72002000,1.2,1.9,SR    9A,0.7,0,0,0,0,0,0,0,0,0,9,20,45,14,38,37,9,28,32,18,48,38,0,0,0,14,38,37,Y
897,2797,2,02,34010000,4.3,4.7,SR   55,0.4,0,0,0,0,0,0,0,0,0,4,10,40,5,18,28,2,5,40,6,15,40,0,0,0,5,18,28,N
898,997,1,01,13120001,0.3,1,SR   70,0.7,1,1,100,1,1,100,0,0,0,9,20,45,11,25,44,11,21,52,21,42,50,1,1,100,11,25,44,Y
899,3556,2,02,72020425,0,0.4,SR    9,0.4,0,0,0,0,0,0,0,0,0,2,3,67,2,6,33,3,3,100,5,6,83,0,0,0,2,6,33,Y
900,97,1,01,01075000,10.3,10.8,SR   93,0.5,0,1,0,0,1,0,0,0,0,6,13,46,6,20,30,5,15,33,11,29,38,0,1,0,6,20,30,N
901,3052,2,02,71050000,22.7,23.1,SR   16,0.4,0,0,0,0,0,0,0,0,0,2,7,29,2,11,18,4,10,40,6,17,35,0,0,0,2,11,18,Y
902,3199,2,02,72001000,30.133,30.433,SR    9A,0.3,0,0,0,0,0,0,0,0,0,5,13,38,5,17,29,3,9,33,8,22,36,0,0,0,5,17,29,Y
903,3838,2,02,72090447,0,0.3,SR  228A,0.3,1,1,100,1,1,100,0,0,0,3,5,60,5,9,56,0,3,0,4,9,44,1,1,100,5,9,56,Y
904,2911,2,02,37120000,11.5,11.8,SR    8,0.3,0,0,0,0,0,0,0,0,0,3,4,75,5,9,56,1,2,50,4,6,67,0,0,0,5,9,56,N
905,1582,1,01,16250000,24.3,24.6,SR   37,0.3,0,0,0,0,0,0,0,0,0,9,30,30,11,38,29,7,15,47,16,45,36,0,0,0,11,38,29,Y
906,2752,2,02,32100000,6.6,7.1,SR   93,0.5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,4,4,100,4,5,80,0,1,0,0,0,0,N
907,5836,3,03,48270000,2.9,3.5,SR    8A,0.6,0,0,0,0,0,0,0,0,0,10,11,91,15,16,94,4,7,57,14,18,78,0,0,0,15,16,94,Y
908,2401,2,02,26260000,25.4,25.9,SR   93,0.5,0,0,0,0,0,0,0,0,0,2,3,67,4,5,80,3,6,50,5,9,56,0,0,0,4,5,80,N
909,1852,1,01,17040000,1.981,2.481,SR  780,0.5,0,0,0,0,0,0,0,0,0,28,95,29,45,141,32,26,57,46,54,152,36,0,0,0,45,141,32,Y
910,1714,1,01,16320000,31.1,32.022,SR  400,0.922,2,3,67,2,3,67,0,1,0,15,31,48,25,61,41,19,57,33,36,91,40,2,3,67,25,62,40,N
911,2092,1,01,91060000,0.5,0.8,SR  710,0.3,0,0,0,0,0,0,0,0,0,2,6,33,2,9,22,2,2,100,4,8,50,0,0,0,2,9,22,N
912,5593,3,03,48080016,0,0.222,SR  295,0.222,0,0,0,0,0,0,0,0,0,7,8,88,7,9,78,2,5,40,9,13,69,0,0,0,7,9,78,Y
913,2275,2,02,26070000,19.6,20.5,SR   26,0.9,0,0,0,0,0,0,0,0,0,54,143,38,80,195,41,93,224,42,147,367,40,0,0,0,80,195,41,Y
914,5317,3,03,48012000,7,7.3,SR  296,0.3,0,0,0,0,0,0,0,0,0,2,3,67,2,3,67,2,3,67,4,6,67,0,0,0,2,3,67,Y
915,1183,1,01,16030201,0,0.3,SR  555,0.3,0,0,0,0,0,0,0,0,0,5,15,33,10,23,43,7,16,44,12,31,39,0,0,0,10,23,43,Y
916,5092,3,03,46080000,2.3,2.6,SR   22,0.3,0,0,0,0,0,0,0,0,0,1,9,11,2,15,13,5,8,62,6,17,35,0,0,0,2,15,13,N
917,2653,2,02,29180000,3.6,4.1,SR   93,0.5,0,0,0,0,0,0,0,0,0,5,11,45,8,16,50,9,23,39,14,34,41,0,0,0,8,16,50,N
918,4864,2,02,78080000,17.4,17.7,SR    9,0.3,0,0,0,0,0,0,0,0,0,3,10,30,7,21,33,5,9,56,8,19,42,0,0,0,7,21,33,N
919,1711,1,01,16320000,30.2,30.7,SR  400,0.5,0,0,0,0,0,0,0,0,0,3,7,43,3,8,38,4,9,44,7,16,44,0,0,0,3,8,38,N
920,3241,2,02,72001020,0,0.188,SR    9A,0.188,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,6,13,46,6,15,40,0,0,0,0,2,0,Y
921,4396,2,02,74020000,8.6,9,SR    5,0.4,0,0,0,0,0,0,0,0,0,3,5,60,5,9,56,3,5,60,6,10,60,0,0,0,5,9,56,N
922,940,1,01,13075000,6.5,7,SR   93,0.5,0,1,0,0,1,0,0,1,0,3,6,50,3,6,50,3,8,38,6,15,40,0,1,0,3,7,43,Y
923,5494,3,03,48050000,6.9,7.2,SR  292,0.3,0,0,0,0,0,0,0,0,0,6,20,30,11,32,34,8,20,40,14,40,35,0,0,0,11,32,34,Y
924,2884,2,02,37040000,27.1,27.4,SR   51,0.3,0,0,0,0,0,0,0,0,0,3,7,43,5,15,33,5,10,50,8,17,47,0,0,0,5,15,33,N
925,4171,2,02,72270000,17.8,18.3,SR    8,0.5,0,0,0,0,0,0,0,0,0,7,22,32,15,43,35,15,36,42,22,58,38,0,0,0,15,43,35,Y
926,3484,2,02,72015000,0.6,0.9,SR  126,0.3,1,1,100,1,1,100,1,1,100,2,4,50,2,5,40,3,11,27,6,16,38,1,1,100,3,6,50,Y
927,40,1,01,01030000,16.9,17.4,SR   31,0.5,2,2,100,2,2,100,0,0,0,1,4,25,2,6,33,1,1,100,4,7,57,2,2,100,2,6,33,N
928,5218,3,03,48004000,2.1,2.4,SR  727,0.3,0,1,0,0,1,0,0,0,0,6,10,60,16,23,70,1,2,50,7,13,54,0,1,0,16,23,70,Y
929,673,1,01,12060000,10.467,10.967,SR   78,0.5,1,1,100,1,1,100,0,0,0,11,22,50,21,37,57,6,12,50,18,35,51,1,1,100,21,37,57,Y
930,2149,2,02,26010000,6.8,7.3,SR   25,0.5,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,3,3,100,6,6,100,0,0,0,3,3,100,N
931,2995,2,02,39040000,0,0.3,SR   16,0.3,0,0,0,0,0,0,0,0,0,2,2,100,2,2,100,2,3,67,4,5,80,0,0,0,2,2,100,N
932,3691,2,02,72040338,1.3,1.57,SR   10A,0.27,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,2,4,50,5,7,71,0,0,0,3,3,100,Y
933,2107,1,01,91070000,11.6,12.1,SR   70,0.5,0,0,0,0,0,0,0,0,0,1,4,25,1,5,20,3,5,60,4,9,44,0,0,0,1,5,20,N
934,5608,3,03,48080061,0,0.209,SR  294,0.209,0,0,0,0,0,0,0,0,0,21,50,42,31,71,44,19,50,38,40,100,40,0,0,0,31,71,44,Y
935,1510,1,01,16180000,31.7,31.97,SR   25,0.27,0,0,0,0,0,0,0,0,0,3,6,50,3,7,43,2,5,40,5,11,45,0,0,0,3,7,43,N
936,2290,2,02,26080000,10.3,10.8,SR   20,0.5,0,0,0,0,0,0,0,0,0,3,7,43,3,9,33,3,7,43,6,14,43,0,0,0,3,9,33,N
937,3931,2,02,72120000,21.276,21.876,SR  228,0.6,1,1,100,1,1,100,0,0,0,11,21,52,13,26,50,7,20,35,19,42,45,1,1,100,13,26,50,Y
938,5332,3,03,48013000,0.9,1.336,SR  742,0.436,0,0,0,0,0,0,0,0,0,3,7,43,8,16,50,5,11,45,8,18,44,0,0,0,8,16,50,Y
939,3781,2,02,72080000,1.2,2.2,SR  139,1,0,1,0,0,1,0,0,0,0,29,70,41,46,113,41,34,94,36,63,165,38,0,1,0,46,113,41,Y
940,5107,3,03,46110000,1.7,2.1,SR  391,0.4,0,0,0,0,0,0,0,0,0,1,3,33,1,3,33,3,5,60,4,8,50,0,0,0,1,3,33,N
941,904,1,01,13040000,3.4,3.9,SR  684,0.5,0,0,0,0,0,0,0,0,0,3,10,30,5,17,29,6,11,55,9,21,43,0,0,0,5,17,29,Y
942,4450,2,02,74060000,11.6,12.1,SR  A1A,0.5,0,0,0,0,0,0,0,0,0,4,5,80,6,7,86,1,4,25,5,9,56,0,0,0,6,7,86,N
943,2668,2,02,29180000,10.5,11,SR   93,0.5,0,0,0,0,0,0,0,0,0,3,6,50,7,13,54,2,6,33,5,12,42,0,0,0,7,13,54,N
944,454,1,01,07060000,13.5,13.8,SR   29,0.3,0,0,0,0,0,0,0,0,0,3,6,50,4,12,33,1,2,50,4,8,50,0,0,0,4,12,33,N
945,4879,2,02,78080000,20.5,20.8,SR    9,0.3,0,0,0,0,0,0,0,0,0,1,8,12,1,27,4,9,19,47,10,27,37,0,0,0,1,27,4,N
946,1147,1,01,16020000,12.349,12.849,SR  600,0.5,0,0,0,0,0,0,0,0,0,5,7,71,7,9,78,1,4,25,6,11,55,0,0,0,7,9,78,Y
947,1708,1,01,16320000,29.4,29.9,SR  400,0.5,1,2,50,1,2,50,0,0,0,8,26,31,13,42,31,10,20,50,19,48,40,1,2,50,13,42,31,Y
948,574,1,01,12010000,8.7,9,SR   45,0.3,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,4,4,100,4,10,40,0,0,0,0,6,0,Y
949,4411,2,02,74030000,4.1,4.5,SR   15,0.4,0,0,0,0,0,0,0,0,0,5,17,29,7,22,32,7,12,58,12,29,41,0,0,0,7,22,32,N
950,2203,2,02,26020064,0,0.4,SR   20,0.4,0,0,0,0,0,0,0,0,0,3,3,100,3,3,100,4,8,50,7,11,64,0,0,0,3,3,100,N
951,3607,2,02,72031010,0,0.3,SR  113,0.3,0,0,0,0,0,0,0,0,0,2,5,40,5,12,42,2,2,100,4,7,57,0,0,0,5,12,42,Y
952,5509,3,03,48050000,11.6,12.3,SR  292,0.7,1,1,100,1,1,100,1,1,100,11,40,28,24,66,36,22,50,44,34,91,37,1,1,100,25,67,37,Y
953,1351,1,01,16130000,0,0.5,SR   60,0.5,1,1,100,1,1,100,1,1,100,5,9,56,5,11,45,4,10,40,10,20,50,1,1,100,6,12,50,Y
954,4186,2,02,72270436,0.3,0.593,SR    8,0.293,0,0,0,0,0,0,0,0,0,21,45,47,28,61,46,21,64,33,42,109,39,0,0,0,28,61,46,Y
955,1411,1,01,16170000,7.3,7.9,SR   25,0.6,1,1,100,1,1,100,3,3,100,4,6,67,9,11,82,6,6,100,11,13,85,1,1,100,12,14,86,N
956,5233,3,03,48004000,6.2,6.7,SR  727,0.5,0,0,0,0,0,0,0,0,0,9,18,50,13,29,45,4,10,40,13,28,46,0,0,0,13,29,45,Y
957,1108,1,01,16010000,4,4.4,SR  600,0.4,1,1,100,1,1,100,1,1,100,12,28,43,17,36,47,11,29,38,24,58,41,1,1,100,18,37,49,Y
958,2164,2,02,26010000,16.2,16.5,SR   25,0.3,0,0,0,0,0,0,0,0,0,1,6,17,2,9,22,5,11,45,6,17,35,0,0,0,2,9,22,Y
959,688,1,01,12060000,24.167,24.404,SR   78,0.237,1,1,100,1,1,100,0,0,0,2,7,29,3,10,30,4,7,57,7,15,47,1,1,100,3,10,30,Y
960,5008,3,03,46020003,6.1,6.5,SR   30A,0.4,0,0,0,0,0,0,0,0,0,4,11,36,5,12,42,3,9,33,7,20,35,0,0,0,5,12,42,N
961,5776,3,03,48260000,16.8,17.3,SR    8,0.5,0,1,0,0,1,0,0,0,0,2,2,100,2,2,100,2,5,40,4,8,50,0,1,0,2,2,100,Y
962,3010,2,02,71010000,6.6,7.1,SR   15,0.5,1,1,100,1,1,100,0,0,0,3,3,100,3,3,100,1,2,50,5,6,83,1,1,100,3,3,100,N
963,4780,2,02,78051000,7.8,8.1,SR  207,0.3,1,1,100,1,1,100,1,1,100,2,2,100,2,2,100,1,2,50,4,5,80,1,1,100,3,3,100,N
964,3946,2,02,72140000,5.1,5.6,SR  200,0.5,0,0,0,0,0,0,0,0,0,1,3,33,4,7,57,3,5,60,4,8,50,0,0,0,4,7,57,Y
