FID,ID,LOCATION_S,DISTRICT,CO_SEC_SUB,BMP,EMP,ROUTEID,LENGTH,FTLCRSH_NU,FTLCRSH_AL,FTLCRSH_PC,FCFTL_NUME,FCFTL_ALL,FCFTL_PCT,FCINJ_NUME,FCINJ_ALL,FCINJ_PCT,INJCRSH_NU,INJCRSH_AL,INJCRSH_PC,ICINJ_NUME,ICINJ_ALL,ICINJ_PCT,PDOCRSH_NU,PDOCRSH_AL,PDOCRSH_PC,TOTCRSH_NU,TOTCRSH_AL,TOTCRSH_PC,TOTFTL_NUM,TOTFTL_ALL,TOTFTL_PCT,TOTINJ_NUM,TOTINJ_ALL,TOTINJ_PCT,URBAN
343,34,1,01,01010000,25.4,25.8,SR   45,0.4,0,0,0,0,0,0,0,0,0,3,12,25,4,31,13,2,2,100,5,14,36,0,0,0,4,31,13,Y
344,667,1,01,12040000,5.5,5.9,SR  867,0.4,1,1,100,1,1,100,0,0,0,1,3,33,1,3,33,6,11,55,8,15,53,1,1,100,1,3,33,Y
345,2989,2,02,39020000,16.429,16.929,SR  121,0.5,0,0,0,0,0,0,0,0,0,3,4,75,5,6,83,2,3,67,5,7,71,0,0,0,5,6,83,N
346,3685,2,02,72040337,0.7,0.966,SR  115,0.266,0,0,0,0,0,0,0,0,0,1,4,25,1,9,11,10,27,37,11,31,35,0,0,0,1,9,11,Y
347,1504,1,01,16180000,30.7,31.1,SR   25,0.4,0,1,0,0,1,0,0,2,0,4,11,36,4,15,27,5,13,38,9,25,36,0,1,0,4,17,24,N
348,3925,2,02,72120000,15.776,16.276,SR  228,0.5,2,2,100,2,2,100,2,2,100,9,17,53,14,28,50,4,17,24,15,36,42,2,2,100,16,30,53,Y
349,3775,2,02,72070443,0.505,0.805,SR    5,0.3,0,0,0,0,0,0,0,0,0,2,4,50,3,6,50,2,6,33,4,10,40,0,0,0,3,6,50,Y
350,898,1,01,13020000,14.4,14.9,SR   43,0.5,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,6,7,86,6,8,75,0,0,0,0,1,0,N
351,448,1,01,07060000,10.9,11.5,SR   29,0.6,2,2,100,2,2,100,0,0,0,4,8,50,9,18,50,2,2,100,8,12,67,2,2,100,9,18,50,N
352,1141,1,01,16020000,10.049,10.349,SR  600,0.3,1,1,100,1,1,100,7,7,100,3,5,60,5,8,62,1,1,100,5,7,71,1,1,100,12,15,80,Y
353,631,1,01,12011000,6.015,6.315,SR  739,0.3,0,0,0,0,0,0,0,0,0,1,3,33,1,3,33,3,5,60,4,8,50,0,0,0,1,3,33,Y
354,3226,2,02,72001009,0,0.162,SR    9A,0.162,0,0,0,0,0,0,0,0,0,9,15,60,12,20,60,7,30,23,16,45,36,0,0,0,12,20,60,Y
355,3715,2,02,72060000,4.7,5,SR    5,0.3,0,0,0,0,0,0,0,0,0,2,3,67,4,6,67,2,4,50,4,7,57,0,0,0,4,6,67,Y
356,3976,2,02,72160000,1.2,1.5,SR   13,0.3,0,0,0,0,0,0,0,0,0,3,8,38,7,16,44,1,3,33,4,11,36,0,0,0,7,16,44,Y
